Time	Channel A	Channel B
(ms)	(V)	(V)

-0.99978806	0.00000000	0.15079200
-0.99974806	-0.00793481	0.15079200
-0.99970806	-0.00793481	0.15872680
-0.99966806	-0.00793481	0.15079200
-0.99962806	-0.00793481	0.15079200
-0.99958806	0.00000000	0.15079200
-0.99954806	-0.00793481	0.15079200
-0.99950806	0.00000000	0.15872680
-0.99946806	0.00000000	0.15872680
-0.99942806	0.00000000	0.15872680
-0.99938806	-0.00793481	0.15872680
-0.99934806	0.00000000	0.15079200
-0.99930806	0.00000000	0.15872680
-0.99926806	0.00000000	0.15872680
-0.99922806	-0.00793481	0.15079200
-0.99918806	0.00000000	0.15872680
-0.99914806	0.00000000	0.15872680
-0.99910806	0.00000000	0.15079200
-0.99906806	0.00000000	0.15872680
-0.99902806	0.00000000	0.15872680
-0.99898806	0.00000000	0.15872680
-0.99894806	0.00000000	0.15872680
-0.99890806	0.00000000	0.15079200
-0.99886806	0.00000000	0.15079200
-0.99882806	0.00000000	0.15872680
-0.99878806	0.00000000	0.15872680
-0.99874806	0.00000000	0.15872680
-0.99870806	0.00000000	0.15872680
-0.99866806	0.00000000	0.15872680
-0.99862806	0.00000000	0.15872680
-0.99858806	0.00000000	0.15079200
-0.99854806	0.00000000	0.15872680
-0.99850806	0.00000000	0.15872680
-0.99846806	0.00000000	0.15872680
-0.99842806	0.00000000	0.15872680
-0.99838806	0.00000000	0.15872680
-0.99834806	0.00000000	0.15872680
-0.99830806	0.00000000	0.15872680
-0.99826806	0.00000000	0.15872680
-0.99822806	0.00000000	0.15872680
-0.99818806	0.00000000	0.15872680
-0.99814806	0.00000000	0.15872680
-0.99810806	0.00000000	0.15872680
-0.99806806	0.00000000	0.15872680
-0.99802806	0.00000000	0.15872680
-0.99798806	0.00000000	0.15872680
-0.99794806	0.00000000	0.15872680
-0.99790806	0.00000000	0.15872680
-0.99786806	0.00000000	0.15872680
-0.99782806	0.00000000	0.15872680
-0.99778806	0.00000000	0.15872680
-0.99774806	0.00000000	0.15872680
-0.99770806	0.00000000	0.15872680
-0.99766806	0.00000000	0.15872680
-0.99762806	0.00000000	0.15872680
-0.99758806	0.00000000	0.15872680
-0.99754806	0.00000000	0.15872680
-0.99750806	0.00000000	0.15872680
-0.99746806	0.00000000	0.15872680
-0.99742806	0.00000000	0.16666160
-0.99738806	0.00000000	0.16666160
-0.99734806	0.00000000	0.15872680
-0.99730806	0.00000000	0.15872680
-0.99726806	0.00000000	0.16666160
-0.99722806	0.00000000	0.16666160
-0.99718806	0.00000000	0.15872680
-0.99714806	0.00793481	0.15872680
-0.99710806	0.00793481	0.16666160
-0.99706806	0.00000000	0.15079200
-0.99702806	0.00793481	0.16666160
-0.99698806	0.00000000	0.18253120
-0.99694806	0.00000000	0.15872680
-0.99690806	0.00793481	0.15079200
-0.99686806	0.00793481	0.15872680
-0.99682806	0.00000000	0.16666160
-0.99678806	0.00000000	0.16666160
-0.99674806	0.00793481	0.15872680
-0.99670806	0.00793481	0.15872680
-0.99666806	0.00793481	0.16666160
-0.99662806	0.00793481	0.15872680
-0.99658806	0.00793481	0.15872680
-0.99654806	0.00793481	0.16666160
-0.99650806	0.00000000	0.16666160
-0.99646806	0.00793481	0.16666160
-0.99642806	0.00793481	0.15872680
-0.99638806	0.00793481	0.15872680
-0.99634806	0.00793481	0.16666160
-0.99630806	0.00793481	0.16666160
-0.99626806	0.00000000	0.16666160
-0.99622806	0.00793481	0.16666160
-0.99618806	0.00793481	0.15872680
-0.99614806	0.00793481	0.16666160
-0.99610806	0.00793481	0.16666160
-0.99606806	0.00793481	0.15872680
-0.99602806	0.00793481	0.16666160
-0.99598806	0.00793481	0.16666160
-0.99594806	0.00793481	0.15872680
-0.99590806	0.00793481	0.16666160
-0.99586806	0.00793481	0.16666160
-0.99582806	0.00793481	0.16666160
-0.99578806	0.00793481	0.16666160
-0.99574806	0.00793481	0.16666160
-0.99570806	0.00793481	0.16666160
-0.99566806	0.00793481	0.16666160
-0.99562806	0.00793481	0.16666160
-0.99558806	0.00793481	0.15872680
-0.99554806	0.00793481	0.16666160
-0.99550806	0.00793481	0.16666160
-0.99546806	0.00793481	0.16666160
-0.99542806	0.00793481	0.16666160
-0.99538806	0.00793481	0.16666160
-0.99534806	0.00793481	0.16666160
-0.99530806	0.00793481	0.16666160
-0.99526806	0.00793481	0.16666160
-0.99522806	0.00793481	0.16666160
-0.99518806	0.00793481	0.16666160
-0.99514806	0.00793481	0.16666160
-0.99510806	0.00793481	0.16666160
-0.99506806	0.00793481	0.17459640
