Time	Channel A	Channel B
(ms)	(V)	(V)

-1.00001798	0.44444110	-0.03967406
-0.99999798	0.44444110	-0.03173925
-0.99997798	0.44444110	-0.03967406
-0.99995798	0.44444110	-0.03967406
-0.99993798	0.44444110	-0.03967406
-0.99991798	0.44444110	-0.03967406
-0.99989798	0.44444110	-0.03967406
-0.99987798	0.44444110	-0.03967406
-0.99985798	0.44444110	-0.03173925
-0.99983798	0.44444110	-0.03967406
-0.99981798	0.44444110	-0.03967406
-0.99979798	0.44444110	-0.03967406
-0.99977798	0.44444110	-0.03967406
-0.99975798	0.44444110	-0.03967406
-0.99973798	0.44444110	-0.03173925
-0.99971798	0.44444110	-0.03173925
-0.99969798	0.44444110	-0.03173925
-0.99967798	0.44444110	-0.03967406
-0.99965798	0.44444110	-0.03967406
-0.99963798	0.44444110	-0.03967406
-0.99961798	0.44444110	-0.03967406
-0.99959798	0.44444110	-0.03173925
-0.99957798	0.44444110	-0.03967406
-0.99955798	0.44444110	-0.03967406
-0.99953798	0.44444110	-0.03967406
-0.99951798	0.44444110	-0.03173925
-0.99949798	0.44444110	-0.03173925
-0.99947798	0.44444110	-0.03967406
-0.99945798	0.44444110	-0.03967406
-0.99943798	0.44444110	-0.03967406
-0.99941798	0.44444110	-0.03173925
-0.99939798	0.44444110	-0.03967406
-0.99937798	0.44444110	-0.03173925
-0.99935798	0.44444110	-0.03173925
-0.99933798	0.44444110	-0.03967406
-0.99931798	0.44444110	-0.03967406
-0.99929798	0.44444110	-0.03967406
-0.99927798	0.44444110	-0.03967406
-0.99925798	0.44444110	-0.03967406
-0.99923798	0.44444110	-0.03173925
-0.99921798	0.44444110	-0.03173925
-0.99919798	0.44444110	-0.03967406
-0.99917798	0.44444110	-0.03967406
-0.99915798	0.44444110	-0.03173925
-0.99913798	0.44444110	-0.03173925
-0.99911798	0.44444110	-0.03173925
-0.99909798	0.44444110	-0.03967406
-0.99907798	0.44444110	-0.03173925
-0.99905798	0.44444110	-0.03173925
-0.99903798	0.44444110	-0.03967406
-0.99901798	0.44444110	-0.03173925
-0.99899798	0.44444110	-0.03967406
-0.99897798	0.44444110	-0.03967406
-0.99895798	0.44444110	-0.03173925
-0.99893798	0.44444110	-0.03173925
-0.99891798	0.44444110	-0.03173925
-0.99889798	0.44444110	-0.03967406
-0.99887798	0.44444110	-0.03173925
-0.99885798	0.44444110	-0.03173925
-0.99883798	0.44444110	-0.03967406
-0.99881798	0.44444110	-0.03173925
-0.99879798	0.44444110	-0.03967406
-0.99877798	0.44444110	-0.03173925
-0.99875798	0.44444110	-0.03173925
-0.99873798	0.44444110	-0.03967406
-0.99871798	0.44444110	-0.03173925
-0.99869798	0.44444110	-0.03967406
-0.99867798	0.44444110	-0.03967406
-0.99865798	0.44444110	-0.03173925
-0.99863798	0.44444110	-0.03173925
-0.99861798	0.44444110	-0.03173925
-0.99859798	0.44444110	-0.03173925
-0.99857798	0.44444110	-0.03173925
-0.99855798	0.44444110	-0.03967406
-0.99853798	0.44444110	-0.03173925
-0.99851798	0.44444110	-0.03173925
-0.99849798	0.44444110	-0.03173925
-0.99847798	0.44444110	-0.03173925
-0.99845798	0.45237590	-0.03967406
-0.99843798	0.44444110	-0.03173925
-0.99841798	0.44444110	-0.03173925
-0.99839798	0.44444110	-0.03173925
-0.99837798	0.44444110	-0.03967406
-0.99835798	0.44444110	-0.03967406
-0.99833798	0.44444110	-0.03173925
-0.99831798	0.44444110	-0.03173925
-0.99829798	0.44444110	-0.03173925
-0.99827798	0.45237590	-0.03173925
-0.99825798	0.44444110	-0.03173925
-0.99823798	0.44444110	-0.03173925
-0.99821798	0.44444110	-0.03967406
-0.99819798	0.44444110	-0.03967406
-0.99817798	0.44444110	-0.03967406
-0.99815798	0.44444110	-0.03173925
-0.99813798	0.45237590	-0.03173925
-0.99811798	0.45237590	-0.03173925
-0.99809798	0.44444110	-0.03173925
-0.99807798	0.44444110	-0.03173925
-0.99805798	0.44444110	-0.03967406
-0.99803798	0.44444110	-0.03173925
-0.99801798	0.44444110	-0.03173925
-0.99799798	0.44444110	-0.03173925
-0.99797798	0.45237590	-0.03173925
-0.99795798	0.45237590	-0.03173925
-0.99793798	0.45237590	-0.03173925
-0.99791798	0.45237590	-0.03967406
-0.99789798	0.44444110	-0.03173925
-0.99787798	0.44444110	-0.03173925
-0.99785798	0.45237590	-0.03173925
-0.99783798	0.44444110	-0.03173925
-0.99781798	0.45237590	-0.03173925
-0.99779798	0.45237590	-0.03173925
-0.99777798	0.45237590	-0.03173925
-0.99775798	0.44444110	-0.03173925
