Time	Channel A	Channel B
(ms)	(V)	(V)

-5.00008697	-0.03173925	-0.26187930
-4.99992697	-0.03173925	-0.26187930
-4.99976697	-0.03173925	-0.26187930
-4.99960697	-0.03173925	-0.26187930
-4.99944697	-0.03173925	-0.26187930
-4.99928697	-0.02380444	-0.26187930
-4.99912697	-0.03173925	-0.26187930
-4.99896697	-0.03173925	-0.26187930
-4.99880697	-0.02380444	-0.26187930
-4.99864697	-0.03173925	-0.26187930
-4.99848697	-0.02380444	-0.26187930
-4.99832697	-0.02380444	-0.26187930
-4.99816697	-0.03173925	-0.26187930
-4.99800697	-0.02380444	-0.26187930
-4.99784697	-0.02380444	-0.26187930
-4.99768697	-0.02380444	-0.26187930
-4.99752697	-0.02380444	-0.26187930
-4.99736697	-0.02380444	-0.26187930
-4.99720697	-0.02380444	-0.26187930
-4.99704697	-0.02380444	-0.26187930
-4.99688697	-0.02380444	-0.26187930
-4.99672697	-0.02380444	-0.26187930
-4.99656697	-0.02380444	-0.26187930
-4.99640697	-0.02380444	-0.26187930
-4.99624697	-0.02380444	-0.26187930
-4.99608697	-0.02380444	-0.26187930
-4.99592697	-0.02380444	-0.26187930
-4.99576697	-0.02380444	-0.26187930
-4.99560697	-0.02380444	-0.26187930
-4.99544697	-0.02380444	-0.26187930
-4.99528697	-0.02380444	-0.26187930
-4.99512697	-0.02380444	-0.26187930
-4.99496697	-0.02380444	-0.26187930
-4.99480697	-0.02380444	-0.26187930
-4.99464697	-0.02380444	-0.26187930
-4.99448697	-0.02380444	-0.26187930
-4.99432697	-0.02380444	-0.26187930
-4.99416697	-0.02380444	-0.26187930
-4.99400697	-0.02380444	-0.26187930
-4.99384697	-0.02380444	-0.26187930
-4.99368697	-0.02380444	-0.26187930
-4.99352697	-0.02380444	-0.26187930
-4.99336697	-0.02380444	-0.26187930
-4.99320697	-0.01586962	-0.26187930
-4.99304697	-0.02380444	-0.26187930
-4.99288697	-0.02380444	-0.26187930
-4.99272697	-0.02380444	-0.26187930
-4.99256697	-0.01586962	-0.26187930
-4.99240697	-0.02380444	-0.26187930
-4.99224697	-0.01586962	-0.26187930
-4.99208697	-0.02380444	-0.26187930
-4.99192697	-0.02380444	-0.26187930
-4.99176697	-0.01586962	-0.26187930
-4.99160697	-0.02380444	-0.26187930
-4.99144697	-0.01586962	-0.26187930
-4.99128697	-0.01586962	-0.26187930
-4.99112697	-0.01586962	-0.26187930
-4.99096697	-0.01586962	-0.26187930
-4.99080697	-0.01586962	-0.26187930
-4.99064697	-0.01586962	-0.26187930
-4.99048697	-0.01586962	-0.26187930
-4.99032697	-0.01586962	-0.26187930
-4.99016697	-0.01586962	-0.26187930
-4.99000697	-0.01586962	-0.26187930
-4.98984697	-0.01586962	-0.26187930
-4.98968697	-0.01586962	-0.26187930
-4.98952697	-0.01586962	-0.25394450
-4.98936697	-0.01586962	-0.26187930
-4.98920697	-0.01586962	-0.26187930
-4.98904697	-0.01586962	-0.25394450
-4.98888697	-0.01586962	-0.25394450
-4.98872697	-0.01586962	-0.26187930
-4.98856697	-0.01586962	-0.26187930
-4.98840697	-0.01586962	-0.25394450
-4.98824697	-0.01586962	-0.26187930
-4.98808697	-0.01586962	-0.26187930
-4.98792697	-0.01586962	-0.25394450
-4.98776697	-0.01586962	-0.25394450
-4.98760697	-0.01586962	-0.26187930
-4.98744697	-0.01586962	-0.25394450
-4.98728697	-0.01586962	-0.25394450
-4.98712697	-0.01586962	-0.25394450
-4.98696697	-0.01586962	-0.26187930
-4.98680697	-0.01586962	-0.26187930
-4.98664697	-0.01586962	-0.25394450
-4.98648697	-0.00793481	-0.26187930
-4.98632697	-0.00793481	-0.25394450
-4.98616697	-0.01586962	-0.25394450
-4.98600697	-0.00793481	-0.26187930
-4.98584697	-0.00793481	-0.25394450
-4.98568697	-0.00793481	-0.25394450
-4.98552697	-0.00793481	-0.25394450
-4.98536697	-0.00793481	-0.25394450
-4.98520697	-0.00793481	-0.25394450
-4.98504697	-0.00793481	-0.25394450
-4.98488697	-0.00793481	-0.25394450
-4.98472697	-0.00793481	-0.25394450
-4.98456697	-0.00793481	-0.25394450
-4.98440697	-0.00793481	-0.25394450
-4.98424697	-0.00793481	-0.25394450
-4.98408697	-0.00793481	-0.25394450
-4.98392697	-0.00793481	-0.25394450
-4.98376697	-0.00793481	-0.25394450
-4.98360697	-0.00793481	-0.25394450
-4.98344697	-0.00793481	-0.25394450
-4.98328697	-0.00793481	-0.25394450
-4.98312697	-0.00793481	-0.25394450
-4.98296697	-0.00793481	-0.25394450
