Time	Channel A	Channel B
(ms)	(V)	(V)

-2.49964697	-0.52378920	-0.06347850
-2.49956697	-0.52378920	-0.06347850
-2.49948697	-0.52378920	-0.06347850
-2.49940697	-0.52378920	-0.06347850
-2.49932697	-0.52378920	-0.06347850
-2.49924697	-0.52378920	-0.06347850
-2.49916697	-0.52378920	-0.06347850
-2.49908697	-0.52378920	-0.06347850
-2.49900697	-0.52378920	-0.06347850
-2.49892697	-0.52378920	-0.06347850
-2.49884697	-0.52378920	-0.06347850
-2.49876697	-0.52378920	-0.06347850
-2.49868697	-0.52378920	-0.06347850
-2.49860697	-0.52378920	-0.06347850
-2.49852697	-0.52378920	-0.06347850
-2.49844697	-0.52378920	-0.06347850
-2.49836697	-0.52378920	-0.06347850
-2.49828697	-0.52378920	-0.06347850
-2.49820697	-0.52378920	-0.06347850
-2.49812697	-0.52378920	-0.06347850
-2.49804697	-0.52378920	-0.06347850
-2.49796697	-0.52378920	-0.06347850
-2.49788697	-0.52378920	-0.06347850
-2.49780697	-0.52378920	-0.06347850
-2.49772697	-0.52378920	-0.06347850
-2.49764697	-0.52378920	-0.06347850
-2.49756697	-0.52378920	-0.06347850
-2.49748697	-0.52378920	-0.06347850
-2.49740697	-0.52378920	-0.06347850
-2.49732697	-0.52378920	-0.06347850
-2.49724697	-0.52378920	-0.06347850
-2.49716697	-0.52378920	-0.06347850
-2.49708697	-0.52378920	-0.06347850
-2.49700697	-0.52378920	-0.06347850
-2.49692697	-0.52378920	-0.06347850
-2.49684697	-0.53172400	-0.06347850
-2.49676697	-0.52378920	-0.06347850
-2.49668697	-0.52378920	-0.06347850
-2.49660697	-0.52378920	-0.06347850
-2.49652697	-0.52378920	-0.06347850
-2.49644697	-0.52378920	-0.06347850
-2.49636697	-0.52378920	-0.06347850
-2.49628697	-0.52378920	-0.06347850
-2.49620697	-0.52378920	-0.06347850
-2.49612697	-0.52378920	-0.06347850
-2.49604697	-0.52378920	-0.07141331
-2.49596697	-0.52378920	-0.06347850
-2.49588697	-0.52378920	-0.06347850
-2.49580697	-0.52378920	-0.06347850
-2.49572697	-0.52378920	-0.06347850
-2.49564697	-0.52378920	-0.06347850
-2.49556697	-0.52378920	-0.06347850
-2.49548697	-0.52378920	-0.07141331
-2.49540697	-0.52378920	-0.07141331
-2.49532697	-0.52378920	-0.06347850
-2.49524697	-0.52378920	-0.07141331
-2.49516697	-0.52378920	-0.06347850
-2.49508697	-0.52378920	-0.06347850
-2.49500697	-0.52378920	-0.07141331
-2.49492697	-0.52378920	-0.07141331
-2.49484697	-0.52378920	-0.06347850
-2.49476697	-0.53172400	-0.07141331
-2.49468697	-0.52378920	-0.07141331
-2.49460697	-0.52378920	-0.07141331
-2.49452697	-0.52378920	-0.06347850
-2.49444697	-0.52378920	-0.07141331
-2.49436697	-0.52378920	-0.07141331
-2.49428697	-0.53172400	-0.07141331
-2.49420697	-0.52378920	-0.07141331
-2.49412697	-0.52378920	-0.07141331
-2.49404697	-0.52378920	-0.07141331
-2.49396697	-0.52378920	-0.07141331
-2.49388697	-0.52378920	-0.07141331
-2.49380697	-0.52378920	-0.07141331
-2.49372697	-0.52378920	-0.07141331
-2.49364697	-0.53172400	-0.07141331
-2.49356697	-0.53172400	-0.07141331
-2.49348697	-0.52378920	-0.07141331
-2.49340697	-0.53172400	-0.07141331
-2.49332697	-0.52378920	-0.07141331
-2.49324697	-0.52378920	-0.07141331
-2.49316697	-0.52378920	-0.07141331
-2.49308697	-0.53172400	-0.07141331
-2.49300697	-0.52378920	-0.07141331
-2.49292697	-0.52378920	-0.07141331
-2.49284697	-0.52378920	-0.07141331
-2.49276697	-0.52378920	-0.07141331
-2.49268697	-0.52378920	-0.07141331
-2.49260697	-0.52378920	-0.07141331
-2.49252697	-0.52378920	-0.07141331
-2.49244697	-0.53172400	-0.07141331
-2.49236697	-0.52378920	-0.07141331
-2.49228697	-0.53172400	-0.07141331
-2.49220697	-0.53172400	-0.07141331
-2.49212697	-0.52378920	-0.07141331
-2.49204697	-0.52378920	-0.07141331
-2.49196697	-0.53172400	-0.07141331
-2.49188697	-0.53172400	-0.07141331
-2.49180697	-0.52378920	-0.07141331
-2.49172697	-0.52378920	-0.07141331
-2.49164697	-0.52378920	-0.07141331
-2.49156697	-0.52378920	-0.07141331
-2.49148697	-0.53172400	-0.07141331
-2.49140697	-0.52378920	-0.07141331
-2.49132697	-0.52378920	-0.07141331
-2.49124697	-0.52378920	-0.07141331
-2.49116697	-0.52378920	-0.07141331
-2.49108697	-0.52378920	-0.07141331
