Time	Channel A	Channel B
(ms)	(V)	(V)

-4.99976706	-0.52378920	-0.04760887
-4.99960706	-0.52378920	-0.04760887
-4.99944706	-0.52378920	-0.04760887
-4.99928706	-0.52378920	-0.04760887
-4.99912706	-0.52378920	-0.04760887
-4.99896706	-0.52378920	-0.04760887
-4.99880706	-0.52378920	-0.04760887
-4.99864706	-0.52378920	-0.04760887
-4.99848706	-0.52378920	-0.04760887
-4.99832706	-0.52378920	-0.04760887
-4.99816706	-0.52378920	-0.04760887
-4.99800706	-0.52378920	-0.04760887
-4.99784706	-0.52378920	-0.04760887
-4.99768706	-0.52378920	-0.04760887
-4.99752706	-0.52378920	-0.04760887
-4.99736706	-0.52378920	-0.04760887
-4.99720706	-0.52378920	-0.04760887
-4.99704706	-0.52378920	-0.04760887
-4.99688706	-0.52378920	-0.04760887
-4.99672706	-0.52378920	-0.04760887
-4.99656706	-0.52378920	-0.04760887
-4.99640706	-0.52378920	-0.04760887
-4.99624706	-0.53172400	-0.04760887
-4.99608706	-0.52378920	-0.04760887
-4.99592706	-0.52378920	-0.04760887
-4.99576706	-0.52378920	-0.04760887
-4.99560706	-0.52378920	-0.04760887
-4.99544706	-0.52378920	-0.04760887
-4.99528706	-0.53172400	-0.04760887
-4.99512706	-0.52378920	-0.05554369
-4.99496706	-0.52378920	-0.04760887
-4.99480706	-0.52378920	-0.04760887
-4.99464706	-0.52378920	-0.05554369
-4.99448706	-0.52378920	-0.04760887
-4.99432706	-0.52378920	-0.04760887
-4.99416706	-0.53172400	-0.05554369
-4.99400706	-0.52378920	-0.05554369
-4.99384706	-0.52378920	-0.05554369
-4.99368706	-0.52378920	-0.05554369
-4.99352706	-0.52378920	-0.05554369
-4.99336706	-0.52378920	-0.05554369
-4.99320706	-0.52378920	-0.05554369
-4.99304706	-0.53172400	-0.05554369
-4.99288706	-0.52378920	-0.05554369
-4.99272706	-0.52378920	-0.05554369
-4.99256706	-0.52378920	-0.05554369
-4.99240706	-0.52378920	-0.05554369
-4.99224706	-0.52378920	-0.05554369
-4.99208706	-0.52378920	-0.05554369
-4.99192706	-0.53172400	-0.05554369
-4.99176706	-0.53172400	-0.05554369
-4.99160706	-0.53172400	-0.05554369
-4.99144706	-0.52378920	-0.05554369
-4.99128706	-0.52378920	-0.05554369
-4.99112706	-0.52378920	-0.05554369
-4.99096706	-0.52378920	-0.05554369
-4.99080706	-0.52378920	-0.05554369
-4.99064706	-0.53172400	-0.05554369
-4.99048706	-0.53172400	-0.05554369
-4.99032706	-0.52378920	-0.05554369
-4.99016706	-0.53172400	-0.05554369
-4.99000706	-0.52378920	-0.05554369
-4.98984706	-0.53172400	-0.05554369
-4.98968706	-0.52378920	-0.05554369
-4.98952706	-0.53172400	-0.05554369
-4.98936706	-0.53172400	-0.05554369
-4.98920706	-0.52378920	-0.05554369
-4.98904706	-0.52378920	-0.05554369
-4.98888706	-0.53172400	-0.05554369
-4.98872706	-0.53172400	-0.05554369
-4.98856706	-0.52378920	-0.05554369
-4.98840706	-0.52378920	-0.05554369
-4.98824706	-0.53172400	-0.05554369
-4.98808706	-0.52378920	-0.05554369
-4.98792706	-0.53172400	-0.05554369
-4.98776706	-0.53172400	-0.05554369
-4.98760706	-0.53172400	-0.05554369
-4.98744706	-0.52378920	-0.05554369
-4.98728706	-0.53172400	-0.05554369
-4.98712706	-0.53172400	-0.06347850
-4.98696706	-0.52378920	-0.05554369
-4.98680706	-0.52378920	-0.05554369
-4.98664706	-0.52378920	-0.05554369
-4.98648706	-0.52378920	-0.05554369
-4.98632706	-0.52378920	-0.06347850
-4.98616706	-0.52378920	-0.05554369
-4.98600706	-0.52378920	-0.06347850
-4.98584706	-0.52378920	-0.05554369
-4.98568706	-0.52378920	-0.06347850
-4.98552706	-0.52378920	-0.06347850
-4.98536706	-0.52378920	-0.06347850
-4.98520706	-0.52378920	-0.06347850
-4.98504706	-0.52378920	-0.06347850
-4.98488706	-0.52378920	-0.06347850
-4.98472706	-0.52378920	-0.06347850
-4.98456706	-0.52378920	-0.06347850
-4.98440706	-0.52378920	-0.06347850
-4.98424706	-0.52378920	-0.06347850
-4.98408706	-0.52378920	-0.06347850
-4.98392706	-0.52378920	-0.06347850
-4.98376706	-0.52378920	-0.06347850
-4.98360706	-0.52378920	-0.06347850
-4.98344706	-0.52378920	-0.06347850
-4.98328706	-0.52378920	-0.06347850
-4.98312706	-0.52378920	-0.06347850
-4.98296706	-0.52378920	-0.06347850
-4.98280706	-0.52378920	-0.06347850
-4.98264706	-0.52378920	-0.06347850
