Time	Channel A	Channel B
(ms)	(V)	(V)

-4.99912677	0.06347850	0.28571430
-4.99896677	0.06347850	0.28571430
-4.99880677	0.06347850	0.28571430
-4.99864677	0.06347850	0.28571430
-4.99848677	0.06347850	0.28571430
-4.99832677	0.06347850	0.28571430
-4.99816677	0.06347850	0.28571430
-4.99800677	0.06347850	0.28571430
-4.99784677	0.06347850	0.28571430
-4.99768677	0.06347850	0.28571430
-4.99752677	0.06347850	0.28571430
-4.99736677	0.06347850	0.28571430
-4.99720677	0.06347850	0.28571430
-4.99704677	0.06347850	0.28571430
-4.99688677	0.06347850	0.28571430
-4.99672677	0.06347850	0.28571430
-4.99656677	0.06347850	0.28571430
-4.99640677	0.06347850	0.28571430
-4.99624677	0.06347850	0.28571430
-4.99608677	0.06347850	0.28571430
-4.99592677	0.06347850	0.28571430
-4.99576677	0.06347850	0.28571430
-4.99560677	0.06347850	0.28571430
-4.99544677	0.06347850	0.28571430
-4.99528677	0.05554369	0.28571430
-4.99512677	0.06347850	0.27774890
-4.99496677	0.06347850	0.28571430
-4.99480677	0.06347850	0.27774890
-4.99464677	0.06347850	0.27774890
-4.99448677	0.06347850	0.28571430
-4.99432677	0.06347850	0.27774890
-4.99416677	0.06347850	0.27774890
-4.99400677	0.06347850	0.27774890
-4.99384677	0.06347850	0.28571430
-4.99368677	0.06347850	0.27774890
-4.99352677	0.06347850	0.27774890
-4.99336677	0.06347850	0.27774890
-4.99320677	0.06347850	0.27774890
-4.99304677	0.05554369	0.27774890
-4.99288677	0.06347850	0.27774890
-4.99272677	0.06347850	0.27774890
-4.99256677	0.05554369	0.27774890
-4.99240677	0.05554369	0.27774890
-4.99224677	0.05554369	0.27774890
-4.99208677	0.05554369	0.27774890
-4.99192677	0.05554369	0.27774890
-4.99176677	0.05554369	0.27774890
-4.99160677	0.05554369	0.27774890
-4.99144677	0.05554369	0.27774890
-4.99128677	0.05554369	0.27774890
-4.99112677	0.05554369	0.27774890
-4.99096677	0.05554369	0.27774890
-4.99080677	0.05554369	0.27774890
-4.99064677	0.05554369	0.27774890
-4.99048677	0.05554369	0.27774890
-4.99032677	0.05554369	0.27774890
-4.99016677	0.05554369	0.27774890
-4.99000677	0.05554369	0.27774890
-4.98984677	0.05554369	0.27774890
-4.98968677	0.05554369	0.27774890
-4.98952677	0.05554369	0.27774890
-4.98936677	0.05554369	0.27774890
-4.98920677	0.05554369	0.27774890
-4.98904677	0.05554369	0.27774890
-4.98888677	0.05554369	0.27774890
-4.98872677	0.05554369	0.27774890
-4.98856677	0.05554369	0.27774890
-4.98840677	0.05554369	0.27774890
-4.98824677	0.05554369	0.27774890
-4.98808677	0.05554369	0.27774890
-4.98792677	0.05554369	0.27774890
-4.98776677	0.05554369	0.27774890
-4.98760677	0.05554369	0.27774890
-4.98744677	0.05554369	0.27774890
-4.98728677	0.05554369	0.27774890
-4.98712677	0.05554369	0.27774890
-4.98696677	0.05554369	0.27774890
-4.98680677	0.05554369	0.27774890
-4.98664677	0.05554369	0.27774890
-4.98648677	0.05554369	0.27774890
-4.98632677	0.05554369	0.27774890
-4.98616677	0.05554369	0.27774890
-4.98600677	0.05554369	0.27774890
-4.98584677	0.05554369	0.27774890
-4.98568677	0.05554369	0.27774890
-4.98552677	0.05554369	0.27774890
-4.98536677	0.05554369	0.27774890
-4.98520677	0.05554369	0.27774890
-4.98504677	0.05554369	0.27774890
-4.98488677	0.05554369	0.27774890
-4.98472677	0.05554369	0.27774890
-4.98456677	0.05554369	0.27774890
-4.98440677	0.04760887	0.27774890
-4.98424677	0.04760887	0.27774890
-4.98408677	0.05554369	0.27774890
-4.98392677	0.04760887	0.27774890
-4.98376677	0.05554369	0.27774890
-4.98360677	0.04760887	0.27774890
-4.98344677	0.04760887	0.27774890
-4.98328677	0.04760887	0.27774890
-4.98312677	0.04760887	0.27774890
-4.98296677	0.04760887	0.27774890
-4.98280677	0.04760887	0.27774890
-4.98264677	0.04760887	0.27774890
-4.98248677	0.04760887	0.27774890
-4.98232677	0.04760887	0.27774890
-4.98216677	0.04760887	0.27774890
-4.98200677	0.04760887	0.27774890
-4.98184677	0.04760887	0.27774890
-4.98168677	0.04760887	0.27774890
-4.98152677	0.04760887	0.27774890
-4.98136677	0.04760887	0.27774890
-4.98120677	0.04760887	0.27774890
-4.98104677	0.04760887	0.27774890
-4.98088677	0.04760887	0.27774890
-4.98072677	0.04760887	0.27774890
-4.98056677	0.04760887	0.27774890
-4.98040677	0.04760887	0.27774890
-4.98024677	0.04760887	0.27774890
-4.98008677	0.04760887	0.27774890
